"Ranking","Team","Rating"
1,"Virginia",1.31977180810082
2,"Villanova",1.30280053581321
3,"Xavier",1.22633700741527
4,"Duke",1.21838328125086
5,"Michigan_St",1.21782512907712
6,"Kansas",1.20767555261365
7,"Purdue",1.19250901885615
8,"Auburn",1.18334389714723
9,"North_Carolina",1.16919079785844
10,"Cincinnati",1.14618118313472
11,"Texas_Tech",1.1091217258368
12,"Tennessee",1.10804910492461
13,"Wichita_St",1.10500010597421
14,"Arizona",1.07706027942994
15,"Ohio_St",1.0769998984099
16,"Nevada",1.06427550049476
17,"Clemson",1.06365674405961
18,"Rhode_Island",1.05866200837107
19,"West_Virginia",1.05816711713533
20,"Gonzaga",1.05544143024904
21,"Kentucky",1.04191305373463
22,"Arizona_St",1.02501204513708
23,"Michigan",1.02207000111687
24,"Houston",1.02085658494016
25,"TCU",1.02070902898946
26,"St_Mary's_CA",1.00531569433493
27,"Arkansas",1.00288700136265
28,"Butler",0.989485379859047
29,"Texas_A&M",0.972970591696592
30,"Florida_St",0.971287704013606
31,"Virginia_Tech",0.967702380951766
32,"Kansas_St",0.967216681532879
33,"Seton_Hall",0.961329447039966
34,"Missouri",0.951492498781862
35,"Creighton",0.951184637854487
36,"USC",0.947650864493986
37,"UCLA",0.944091508901114
38,"Miami_FL",0.94051556775594
39,"Louisville",0.939067913689393
40,"Oklahoma",0.936949153167512
41,"Alabama",0.933923045939071
42,"Florida",0.932984197165875
43,"Boise_St",0.929906543180957
44,"MTSU",0.927821862451551
45,"Syracuse",0.925757014942925
46,"Loyola-Chicago",0.920160626623541
47,"NC_State",0.918985835234104
48,"Baylor",0.908568784997266
49,"Mississippi_St",0.90554622419005
50,"St_Bonaventure",0.904976662502826
51,"Marquette",0.898792009132536
52,"Texas",0.894228460277677
53,"New_Mexico_St",0.889371735167573
54,"Providence",0.8879711828771
55,"Nebraska",0.879330700893034
56,"Maryland",0.879083701930975
57,"Utah",0.877876038068983
58,"ULL",0.877660470386444
59,"Penn_St",0.874452976442015
60,"Washington",0.868936094940196
61,"LSU",0.858941050232198
62,"Notre_Dame",0.858932684864177
63,"WKU",0.853358207776013
64,"Old_Dominion",0.851122070413602
65,"Oklahoma_St",0.836094271545835
66,"Oregon",0.83220684288321
67,"Fresno_St",0.822452540539395
68,"Murray_St",0.815128183129168
69,"S_Dakota_St",0.808945018088308
70,"Buffalo",0.807517932258828
71,"Temple",0.805962676037566
72,"Georgia",0.804750261053524
73,"BYU",0.802564982487413
74,"South_Carolina",0.791520569560937
75,"South_Dakota",0.791153922823118
76,"Vermont",0.786386312699704
77,"UCF",0.778222611870594
78,"Belmont",0.775178545969357
79,"SMU",0.774507415277721
80,"St_John's",0.773308714058468
81,"UNLV",0.765041966933393
82,"San_Diego_St",0.764354407610808
83,"ETSU",0.761091574765616
84,"Indiana",0.759356364525077
85,"Davidson",0.758325842974501
86,"Boston_College",0.755470383410157
87,"Stanford",0.750845832448305
88,"Tulsa",0.743156811184825
89,"UNC_Greensboro",0.733823202234503
90,"Colorado",0.728743715090197
91,"Iowa_St",0.726119226581653
92,"Col_Charleston",0.724954107430287
93,"Rider",0.724148249761081
94,"UC_Santa_Barbara",0.721634293529326
95,"Georgetown",0.715317129400981
96,"Utah_Valley",0.711303792128229
97,"Vanderbilt",0.711086768547199
98,"Montana",0.708555849952916
99,"Northeastern",0.706625308259138
100,"Mississippi",0.700799244358417
101,"Northwestern",0.697673928091257
102,"Wyoming",0.695462479538804
103,"S_Illinois",0.695378320679227
104,"Toledo",0.691266522256752
105,"Furman",0.689755707651146
106,"Wisconsin",0.686806489333117
107,"Idaho",0.676496576719765
108,"Minnesota",0.675346699683866
109,"N_Kentucky",0.673791638358769
110,"Bradley",0.670541212920079
111,"Bucknell",0.670144312847434
112,"Marshall",0.666752535099922
113,"Memphis",0.665390739636806
114,"VA_Commonwealth",0.664511223752697
115,"Ball_St",0.660472826516107
116,"Oregon_St",0.654909451320611
117,"SF_Austin",0.646694527135912
118,"Wake_Forest",0.644897732862952
119,"Illinois_St",0.640591258396398
120,"Wright_St",0.639526052663173
121,"Missouri_St",0.635591713549692
122,"Weber_St",0.634906966152617
123,"Penn",0.63476063163523
124,"UC_Davis",0.633890227740729
125,"St_Louis",0.623421004769964
126,"Connecticut",0.623209740800782
127,"Illinois",0.61825615929835
128,"N_Colorado",0.612828059294131
129,"Dayton",0.607251016309033
130,"Canisius",0.606181411901539
131,"San_Diego",0.602304358450273
132,"Georgia_St",0.601281510624999
133,"Hofstra",0.601002878662062
134,"Iowa",0.600173947569095
135,"Georgia_Tech",0.592437392815389
136,"Northern_Iowa",0.592375356205225
137,"FL_Gulf_Coast",0.591625358158022
138,"New_Mexico",0.59094589485773
139,"San_Francisco",0.589956384450994
140,"Seattle",0.589494839286017
141,"Wagner",0.581069621038192
142,"Albany_NY",0.580968491654284
143,"Utah_St",0.578881556593983
144,"Tulane",0.574160760223945
145,"UAB",0.574004359935201
146,"Grand_Canyon",0.571479779396976
147,"Wofford",0.570920729996472
148,"DePaul",0.566323306588291
149,"Evansville",0.56426262667822
150,"Towson",0.564180322358065
151,"Drake",0.563165798071393
152,"Louisiana_Tech",0.561600412399651
153,"Rutgers",0.559070198602238
154,"Portland_St",0.558149179715571
155,"William_&_Mary",0.557833835172531
156,"Lipscomb",0.55636630888579
157,"Winthrop",0.54630304234854
158,"Iona",0.540718697427661
159,"Ga_Southern",0.540284064606488
160,"W_Michigan",0.534167216063297
161,"UT_Arlington",0.532940391539953
162,"UNC_Asheville",0.53120118846475
163,"CS_Fullerton",0.525755349257307
164,"Oakland",0.522138064587794
165,"G_Washington",0.521842050902163
166,"E_Michigan",0.52019458044947
167,"Nicholls_St",0.519606568314549
168,"Pacific",0.514931361983723
169,"Washington_St",0.513777569310734
170,"Jacksonville_St",0.512890334106539
171,"Mercer",0.505965960465914
172,"St_Joseph's_PA",0.503121870073771
173,"Valparaiso",0.497060382485263
174,"Harvard",0.491200959037959
175,"Duquesne",0.489669953598819
176,"Hawaii",0.488069172095102
177,"Indiana_St",0.487145219989915
178,"La_Salle",0.486901976456848
179,"E_Washington",0.486450089918003
180,"IPFW",0.480258716178807
181,"Austin_Peay",0.479829110063466
182,"Niagara",0.47837301230319
183,"UC_Irvine",0.476944928214016
184,"C_Michigan",0.475628689511
185,"Radford",0.474907059076348
186,"Miami_OH",0.46957039818356
187,"UMBC",0.465332252217156
188,"George_Mason",0.457675297131659
189,"UT_San_Antonio",0.456560442432234
190,"Bowling_Green",0.454560731181977
191,"Tennessee_St",0.454420727723497
192,"Tennessee_Tech",0.452531528102132
193,"North_Texas",0.450766893082311
194,"Kent",0.43427712776797
195,"Massachusetts",0.431603286617717
196,"Hartford",0.428087147359519
197,"Navy",0.422885652863656
198,"Sam_Houston_St",0.422058618966611
199,"Ohio",0.417328421436193
200,"SE_Louisiana",0.416773122974805
201,"California",0.415878438294522
202,"Richmond",0.415373158220214
203,"Long_Beach_St",0.415204544381218
204,"St_Francis_PA",0.409494413499951
205,"Pittsburgh",0.408865932357114
206,"Liberty",0.405386079371543
207,"IL_Chicago",0.404542323369206
208,"N_Dakota_St",0.398699091741171
209,"Elon",0.397930677760954
210,"Colgate",0.393071169932054
211,"Colorado_St",0.391267354186261
212,"Lamar",0.38448416045984
213,"Troy",0.380097042190357
214,"UTRGV",0.376350212548307
215,"Manhattan",0.367736525555037
216,"Fairfield",0.367525607651144
217,"Princeton",0.36736818317186
218,"ULM",0.360247315797951
219,"Robert_Morris",0.360160683625959
220,"WI_Milwaukee",0.358638472659654
221,"Monmouth_NJ",0.353959589646649
222,"Denver",0.353922983519835
223,"Lehigh",0.35227892205046
224,"Southern_Miss",0.348726256490865
225,"Akron",0.346015816837191
226,"South_Alabama",0.344024183631585
227,"Yale",0.342042987241165
228,"Santa_Clara",0.340457600838969
229,"N_Illinois",0.336188498475508
230,"Texas_St",0.324616663754628
231,"Campbell",0.323165166203893
232,"SE_Missouri_St",0.321938761984317
233,"Coastal_Car",0.319609969466186
234,"CS_Bakersfield",0.318431326757511
235,"East_Carolina",0.31513908305426
236,"NC_A&T",0.307648085741898
237,"High_Point",0.306994649441465
238,"Air_Force",0.306925099670387
239,"Fordham",0.305673822144751
240,"Delaware",0.302743017600706
241,"Stony_Brook",0.299943176715809
242,"Idaho_St",0.297183808094253
243,"Appalachian_St",0.297111188313364
244,"Cent_Arkansas",0.296561060465238
245,"Drexel",0.295628200898941
246,"Abilene_Chr",0.291652215539662
247,"Montana_St",0.28747201779557
248,"NJIT",0.284956797382939
249,"Brown",0.284124397388577
250,"Mt_St_Mary's",0.282282402048754
251,"New_Orleans",0.280614199454629
252,"Portland",0.278267252458217
253,"FL_Atlantic",0.273142238152194
254,"Grambling",0.268506393033982
255,"Hampton",0.266676729058825
256,"Cornell",0.266603441206152
257,"James_Madison",0.263345812378672
258,"North_Dakota",0.263075749296301
259,"Boston_Univ",0.261622637892771
260,"W_Carolina",0.26148518580622
261,"Florida_Intl",0.257384849777056
262,"Oral_Roberts",0.255857375205249
263,"Southern_Utah",0.255643758166329
264,"Savannah_St",0.254118924645822
265,"North_Florida",0.253438189633014
266,"Loy_Marymount",0.246186255222776
267,"St_Peter's",0.239958860996827
268,"UNC_Wilmington",0.232905637615875
269,"Army",0.232746408171938
270,"NE_Omaha",0.232371056792882
271,"UTEP",0.216022094830218
272,"Missouri_KC",0.214722691224425
273,"Long_Island",0.211056408786441
274,"South_Florida",0.210177140424961
275,"Bethune-Cookman",0.209149464219658
276,"W_Illinois",0.206782616364733
277,"E_Illinois",0.205660721564838
278,"St_Francis_NY",0.202735134369246
279,"Charleston_So",0.20237889609168
280,"Gardner_Webb",0.19967079290072
281,"Columbia",0.194720063459561
282,"Central_Conn",0.193970164404589
283,"Prairie_View",0.191850686922038
284,"Quinnipiac",0.190941908448535
285,"SIUE",0.182964357933977
286,"Holy_Cross",0.182944781316963
287,"TX_Southern",0.178763615703849
288,"MA_Lowell",0.177685283821686
289,"F_Dickinson",0.177656346940926
290,"Norfolk_St",0.175406494123367
291,"Kennesaw",0.172266943295928
292,"Southern_Univ",0.16233626287531
293,"Siena",0.157987880307428
294,"E_Kentucky",0.15761379843307
295,"New_Hampshire",0.157070225327341
296,"Samford",0.152778121183307
297,"UC_Riverside",0.151201790995199
298,"IUPUI",0.145947057723571
299,"NC_Central",0.144459684652256
300,"Citadel",0.143920143442563
301,"Cal_Poly",0.143129712794112
302,"Chattanooga",0.129115662824165
303,"Arkansas_St",0.128632227172057
304,"CS_Sacramento",0.126583894164086
305,"Jacksonville",0.119491100638599
306,"WI_Green_Bay",0.119259416788986
307,"Lafayette",0.116589175653925
308,"Presbyterian",0.115579835366667
309,"TN_Martin",0.11115399027143
310,"Binghamton",0.109371904774511
311,"Detroit",0.107991524896718
312,"Pepperdine",0.0920990513502025
313,"San_Jose_St",0.091385715623804
314,"Morehead_St",0.0877924664198896
315,"Cleveland_St",0.0829842893759835
316,"McNeese_St",0.0829522798326308
317,"Stetson",0.082853859377139
